SMILES,Y_Label
CCC(CC)OC1C=C(CC(NC(N)=N)C1NC(C)=O)C(O)=O,1
CCC(CC)C(NC(C)=O)C1CC(CC1NC(N)=N)C(O)=O,1
CCC(CC=C)OC1C=C(CC(N)C1NC(C)=O)C(O)=O,1
CCCCCCCC(CC)OC1C=C(CC(N)C1NC(C)=O)C(O)=O,1
CCC(CCC1CCCCC1)OC1C=C(CC(N)C1NC(C)=O)C(O)=O,1
CCCOC1C=C(CC(NC(N)=N)C1NC(C)=O)C(O)=O,1
CCCN(CCC1=CC(=CC=C1)C1=CC=CC=C1)C(=O)C1OC(=CC(N)C1NC(C)=O)C(O)=O,1
CCC(CC)OC1C(NC(C)=O)C(N)CC(C(O)=O)=C1F,1
CCCCOC1C=C(CC(NC(N)=N)C1NC(C)=O)C(O)=O,1
CCCN(CCC1=CC(O)=CC=C1)C(=O)C1OC(=CC(N)C1NC(C)=O)C(O)=O,1
CCCOC1C=C(CC(NC(N)=NC)C1NC(C)=O)C(O)=O,1
CCCN(CCC1=CC=CC=C1)C(=O)C1OC(=CC(NC(N)=N)C1NC(C)=O)C(O)=O,1
CCCN(CCC1=CC(OC)=CC=C1)C(=O)C1OC(=CC(N)C1NC(C)=O)C(O)=O,1
CCCN(CCC1=C(Cl)C=C(Cl)C=C1)C(=O)C1OC(=CC(N)C1NC(C)=O)C(O)=O,1
CCC(CC)N(C)C1C=C(CC(N)C1NC(C)=O)C(O)=O,1
CC1CCC(C)N1C(=O)C1OC(=CC(N)C1NC(C)=O)C(O)=O,1
CCCCCCCCCN(CCC)C(=O)C1OC(=CC(NC(N)=N)C1NC(C)=O)C(O)=O,1
CC(=O)NC1C(N)CC(=CC1N1CCCCCC1CO)C(O)=O,1
CCCN(CCC1=CC=C(OC)C=C1)C(=O)C1OC(=CC(N)C1NC(C)=O)C(O)=O,1
CC(C)N(CCC1=CC=CC=C1)C(=O)C1OC(=CC(N)C1NC(C)=O)C(O)=O,1
CC(=O)NC1C(N)C=C(OC1C(=O)N(CCN=[N+]=[N-])CCC1=CC=CC=C1)C(O)=O,1
CCC(C)OC1C=C(CC(N)C1NC(C)=O)C(O)=O,1
CCCN(CCC1=C(OC)C=CC=C1)C(=O)C1OC(=CC(N)C1NC(C)=O)C(O)=O,1
CCCN(CCC1=CC=C(O)C=C1)C(=O)C1OC(=CC(N)C1NC(C)=O)C(O)=O,1
CCCN(CCC)C1C=C(CC(N)C1NC(C)=O)C(O)=O,1
CC(=O)NC1C(N)C=C(OC1C(=O)N(CCO)CCC1=CC=CC=C1)C(O)=O,1
CCCN(CCC1=CC=C(C=C1)C(C)C)C(=O)C1OC(=CC(N)C1NC(C)=O)C(O)=O,1
CCN(CC)C(=O)C(NC(C)=O)C1CC(CC1NC(N)=N)C(O)=O,1
CCC(CC1CCCCC1)OC1C=C(CC(N)C1NC(C)=O)C(O)=O,1
CCCN(CCCC1=CC=CC=C1)C(=O)C1OC(=CC(N)C1NC(C)=O)C(O)=O,1
CC(=O)NC1C(N)CC(=CC1N1CCCCC1)C(O)=O,1
CC(=O)NC1C(N)CC(=CC1N1CCCCCCC1)C(O)=O,1
CCC(CCO)OC1C=C(CC(N)C1NC(C)=O)C(O)=O,1
[H]C12CCC([H])(CCC1)N2C1C=C(CC(N)C1NC(C)=O)C(O)=O,1
CC(=O)NC1C(N)CC(=CC1N1CCCCCC1)C(O)=O,1
CC(=O)NC1C(N)C=C(OC1C(=O)N(CC=C)CC=C)C(O)=O,1
CC(=O)NC(C1CC(CC1NC(N)=N)C(O)=O)C(=O)N1CCOCC1,1
CCCC1CCN(CC1)C1C=C(CC(N)C1NC(C)=O)C(O)=O,1
CC(=O)NC1C(N)C=C(OC1C(=O)N(CCC1=CC=CC=C1)C1CC1)C(O)=O,1
CC1CCN(CC1)C1C=C(CC(N)C1NC(C)=O)C(O)=O,1
CCC1CCN(CC1)C1C=C(CC(N)C1NC(C)=O)C(O)=O,1
CCCN(CCC)C(=O)C(NC(C)=O)C1CC(CC1NC(N)=N)C(O)=O,1
CCCN(C)C1C=C(CC(N)C1NC(C)=O)C(O)=O,1
CC(=O)NC1C(N)CC(=CC1N1CCCCCCCC1)C(O)=O,1
CCC(CC)NC(=O)C(NC(C)=O)C1CC(CC1NC(N)=N)C(O)=O,1
CCCCN(CC)C1C=C(CC(N)C1NC(C)=O)C(O)=O,1
CC(=O)NC1C(N)CC(=CC1OCCCC1=CC=C(C=C1)C1=CC=CC=C1)C(O)=O,1
CCCN(CC)C1C=C(CC(N)C1NC(C)=O)C(O)=O,1
CC(=O)NC1C(O)C=C(CC1NC(N)=N)C(O)=O,1
CN(CCC1=CC=CC=C1)C1C=C(CC(N)C1NC(C)=O)C(O)=O,1
CCCN(CC)C(=O)C(NC(C)=O)C1CC(CC1NC(N)=N)C(O)=O,1
CCC(CC)C(=O)N1N=C(CC(NC(N)=N)C1NC(C)=O)C(O)=O,1
CCCOC1C=C(CC(NC=N)C1NC(C)=O)C(O)=O,1
