DRUGBANK_ID,SMILES,MW,RBN,nCIC,nHAcc,nHDon,ALogP,TPSA
DB05812,[H][C@@]12CC=C(C3=CC=CN=C3)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC=C2C[C@@H](O)CC[C@]12C,349.509,1,5,2,1,5.1,33.12
DB06016,CN(C)C(=O)N[C@H]1CC[C@H](CCN2CCN(CC2)C2=C(Cl)C(Cl)=CC=C2)CC1,427.41,5,3,3,1,4.56,38.82
DB06077,[H][C@]12CCN(CCCC(=O)C3=CC=C(F)C=C3)C[C@@]1([H])C1=CC=CC3=C1N2CCN3C,393.506,5,5,4,0,3.87,26.79
DB06119,NC(=O)O[C@@H](CN1N=CN=N1)C1=C(Cl)C=CC=C1,267.67,5,2,4,1,0.99,95.92
DB06147,NC1=CC=C(C=C1)S(=O)(=O)NC1=NC=CS1,255.317,2,2,4,2,0.88,85.08
DB06148,CN1CCN2C(C1)C1=CC=CC=C1CC1=CC=CC=C21,264.365,0,4,2,0,3.52,6.48
DB06150,COC1=NC(OC)=NC(NS(=O)(=O)C2=CC=C(N)C=C2)=C1,310.329,4,2,7,2,1.08,116.43
DB06152,CC(CCC1=CC=CC=C1)NC(C)C(O)C1=CC=C(O)C=C1,299.414,7,2,3,3,2.73,52.49
DB06153,CN1CCC(CC1)=C1C2=C(CCC3=CC=CC=C13)SC=C2,295.44,0,4,1,0,4.7,3.24
DB06154,[O-][N+](=O)OCC(CO[N+]([O-])=O)(CO[N+]([O-])=O)CO[N+]([O-])=O,316.137,12,0,12,0,1.62,209.48
DB06174,[H][C@@]1(OC(=O)C2=C1C=CC(OC)=C2OC)[C@]1([H])N(C)CCC2=CC3=C(OCO3)C(OC)=C12,413.421,4,5,7,0,2,75.69
DB06193,NCCNC1=CC=C(NCCN)C2=C1C(=O)C1=C(C=NC=C1)C2=O,325.372,6,3,7,4,0.57,123.13
DB06201,NC(=O)C1=CN(CC2=C(F)C=CC=C2F)N=N1,238.194,3,2,3,1,0.95,73.8
DB06203,CN1C(=O)C=C(N2CCC[C@@H](N)C2)N(CC2=C(C=CC=C2)C#N)C1=O,339.392,3,3,5,1,0.66,93.67
DB06204,CC[C@H]([C@@H](C)CN(C)C)C1=CC(O)=CC=C1,221.339,5,1,2,1,3.47,23.47
