DRUGBANK_ID,MW,RBN,nCIC,nHAcc,nHDon,ALogP,TPSA,SMILES
DB00816,211.258,4,1,4,4,-0.32,72.72,
DB00817,294.305,3,3,5,1,1.85,70.5,
DB00818,178.271,2,1,1,1,3.81,20.23,
DB00820,389.404,1,6,4,1,2.36,74.87,
DB00821,273.714,2,3,2,2,4.09,53.09,
DB00822,296.539,7,0,0,0,3.88,6.48,
DB00823,384.509,4,4,2,0,3.99,52.6,
DB00824,194.191,2,2,3,2,0.35,78.09,
DB00827,262.218,2,3,7,1,1.25,88.43,
DB00829,284.74,1,3,2,0,2.63,32.67,
DB00830,177.243,1,2,2,1,1.45,21.26,
DB00831,407.496,5,4,3,0,4.87,9.72,
DB00832,189.21,1,2,2,0,0.61,37.38,
DB00835,319.239,5,2,2,0,3.63,16.13,
DB00838,410.907,2,4,4,2,2.73,74.6,
DB00839,311.4,2,2,4,2,1.4,78.51,
DB00841,301.38,7,2,4,4,2.97,72.72,
DB00842,286.713,1,3,3,2,2.01,61.69,
DB00843,379.492,6,4,4,0,4.14,38.77,
DB00844,357.443,2,6,5,3,2,73.16,
DB00846,436.514,2,5,6,2,2.02,93.06,
DB00848,204.291,1,3,2,0,2.2,15.6,
DB00849,246.262,2,2,3,1,1.95,66.48,
DB00850,403.969,6,4,4,1,4.15,29.95,
DB00852,165.232,3,1,2,2,1,32.26,
DB00853,194.151,1,2,5,1,-1,105.94,
DB00854,257.371,0,4,2,1,3.29,23.47,
DB00856,202.635,4,1,3,2,1.46,49.69,
DB00857,291.43,6,2,1,0,5.51,3.24,
DB00860,360.444,2,4,5,3,1.66,94.83,
DB00861,250.198,2,2,3,2,3.11,57.53,
DB00863,314.4,10,1,5,2,0.79,83.58,
DB00865,239.355,5,2,1,0,3.72,3.24,
DB00867,287.353,6,2,4,4,1.53,72.72,
DB00869,324.44,3,2,5,2,-0.5,106.33,
DB00870,260.308,4,2,3,1,3.16,54.37,
DB00871,225.284,4,1,4,4,0.55,72.72,
DB14596,466.96,7,4,5,1,3.08,99.13,
DB00874,198.216,5,1,4,2,0.76,58.92,
DB00875,434.52,6,4,3,1,4.56,26.71,
DB00876,424.513,10,3,5,2,3.57,92.42,
DB00881,438.516,10,3,5,2,1.39,95.94,
DB00883,236.136,4,2,8,0,0.87,123.2,
DB00885,228.21,1,3,5,1,0.13,87.13,
DB00887,364.416,8,2,5,3,3.44,118.72,
DB00889,312.417,2,4,3,1,2.64,50.16,
DB00890,266.34,3,2,2,2,5.18,40.46,
DB00891,249.289,2,2,4,2,0.84,85.08,
DB00892,308.416,11,1,4,1,3.3,64.79,
DB00894,300.392,0,4,2,0,2.33,43.37,
DB00896,370.533,2,4,3,1,3.64,54.37,
DB00897,343.21,1,4,3,0,2.94,43.07,
DB00899,376.447,9,2,4,0,1.75,76.15,
DB00900,236.227,2,3,6,2,-0.99,88.74,
DB00902,296.43,2,4,2,0,4.56,6.48,
DB00903,303.138,6,1,4,1,3.42,63.6,
DB00904,293.363,2,4,2,0,2.56,39.82,
DB00905,415.566,12,2,4,4,3.41,89.79,
DB00906,375.548,6,3,3,1,4.98,40.54,
DB00907,303.353,5,3,3,0,1.97,55.84,
DB00908,324.417,4,4,4,1,2.82,45.59,
DB00909,212.226,2,2,3,1,0.67,86.19,
DB00913,352.47,7,3,3,1,4.05,55.56,
DB00914,205.26,3,1,5,5,-0.72,97.78,
DB00917,352.465,12,1,5,3,3.31,94.83,
DB00918,335.464,5,3,3,1,2.04,56.41,
DB00920,309.425,0,4,2,0,3.49,20.31,
DB00922,280.285,3,2,6,2,2.69,113.43,
DB00924,275.387,3,3,1,0,4.73,3.24,
DB00925,303.826,8,2,2,0,4.26,12.47,
DB00929,382.534,14,1,4,2,3.88,83.83,
DB00933,386.574,4,4,3,0,3.83,23.55,
DB00934,277.403,4,4,1,1,4.89,12.03,
DB00935,260.375,3,2,3,2,3.7,44.62,
DB00937,205.296,5,1,2,0,2.8,20.31,
DB00938,415.566,16,2,5,4,3.82,81.95,
DB00942,287.44,5,3,2,1,4.15,23.47,
DB00945,180.157,3,1,3,1,1.43,63.6,
DB00946,280.318,3,3,2,1,3.81,46.53,
DB00949,238.24,7,1,2,2,0.56,104.64,
DB00952,335.464,4,3,3,2,2.16,65.2,
DB00953,269.345,5,3,3,1,1.67,49.74,
DB00956,299.364,1,5,4,0,2.13,38.77,
DB00957,369.497,3,4,3,1,3.8,58.89,
DB00959,374.471,2,4,5,3,2.06,94.83,
DB00960,248.321,6,2,3,3,2.17,57.28,
DB00961,246.348,2,2,2,1,2.16,32.34,
DB00962,305.334,3,3,4,0,2,74.29,
DB00963,334.165,4,2,4,2,3,80.39,
DB00964,245.109,1,2,4,3,2.14,62.44,
DB00967,310.821,0,4,2,1,3.48,24.92,
DB00969,294.351,2,4,2,1,1.85,53.92,
DB00972,381.898,3,4,3,0,3.81,35.91,
DB00973,409.425,6,4,3,2,4.14,60.77,
DB00977,296.403,0,4,2,2,3.63,40.46,
DB00978,351.348,3,3,6,2,0,72.88,
DB00979,291.385,7,2,3,1,2.09,49.77,
DB00980,259.343,4,3,2,1,3.03,38.33,
DB00981,275.346,2,3,3,1,1.8,44.81,
DB00982,300.435,5,1,2,1,5.66,37.3,
DB00983,344.405,8,2,5,4,1.91,90.82,
DB00985,469.97,6,4,2,0,0.44,12.47,
DB00989,250.337,5,1,2,0,2.45,32.78,
DB00990,296.403,0,4,2,0,2.67,34.14,
DB00991,293.317,5,3,3,1,3.33,63.33,
DB00993,277.263,3,3,6,1,0.84,118.1,
DB00998,243.304,2,3,2,3,1.2,70.91,
DB01001,239.311,5,1,4,4,0.44,72.72,
DB01002,288.428,5,2,2,1,3.31,32.34,
DB01003,468.366,8,4,11,3,1.84,165.89,
DB01006,285.303,3,3,4,0,1.86,78.29,
DB01007,387.711,6,3,2,0,4.86,27.05,
DB01009,254.281,4,2,3,1,3.29,54.37,
DB01011,226.274,3,2,3,0,2.09,42.85,
DB01013,466.97,5,4,4,1,3.49,80.67,
DB01014,357.317,7,2,8,4,3.37,148.65,
DB01015,253.278,2,2,4,2,0.79,98.22,
DB01018,246.093,2,1,3,3,2.28,78.97,
DB01021,380.656,2,2,5,3,0.86,118.36,
DB01023,384.254,6,2,3,1,4.36,64.63,
DB01024,320.337,6,2,5,2,2.36,93.06,
DB01025,298.293,2,3,5,2,2.76,102.51,
