SMILES,MW,RBN,nCIC,nHAcc,nHDon,ALogP,TPSA,RESULT
CC1CCCN(CC2=C3OC(=CC(=O)C3=C(O)C=C2O)C2=CC=C(O)C=C2)C1,381.46,3,4,6,3,3.644,94.14,Inactive
CN1CCN(CC2=C3OC(=CC(=O)C3=C(O)C=C2O)C2=CC(O)=C(O)C=C2)CC1,398.45,3,4,8,4,2.098,117.61,Inactive
CCCCC1=NOC(=N1)C1OC(=CC(N)C1NC(C)=O)C(O)=O,324.38,6,2,9,4,-0.617,140.57,Inactive
OC1=CC(O)=C2C(=O)C=C(OC2=C1CN1CCCCC1)C1=CC(O)=C(O)C=C1,383.43,3,4,7,4,3.058,114.37,Inactive
CC(C)=CCCC1=CC(=O)C2=C(O)C=CC(O)=C2C1=O,272.32,3,2,4,2,3.496,74.6,Inactive
OC1CCCN(CC2=C3OC(=CC(=O)C3=C(O)C=C2O)C2=CC(O)=C(O)C=C2)C1,399.43,3,4,8,5,2.091,134.6,Inactive
OC1COCC(O)N1CC1=C2OC(=CC(=O)C2=C(O)C=C1O)C1=CC=C(O)C=C1,401.4,3,4,9,5,1.416,143.83,Inactive
OCC1CCN(CC2=C3OC(=CC(=O)C3=C(O)C=C2O)C2=CC(O)=C(O)C=C2)CC1,413.46,4,4,8,5,2.151,134.6,Inactive
OC1CCCN(CC2=C3OC(=CC(=O)C3=C(O)C(O)=C2O)C2=CC=CC=C2)C1,383.43,3,4,7,4,2.358,114.37,Inactive
CC(=O)NC1C(NCCCC(O)=O)C=C(OC1C(O)C(O)CO)C(O)=O,376.41,10,1,11,7,-3.015,185.65,Inactive
CC(=O)NC1C(NCCCCC(O)=O)C=C(OC1C(O)C(O)CO)C(O)=O,390.44,11,1,11,7,-2.559,185.65,Inactive
CC(C)=CCCC(C)=CCCC(C)=CCO,222.41,7,0,1,1,4.761,20.23,Inactive
OC1=CC(O)=C2C(=O)C=C(OC2=C1CN1CCOCC1)C1=CC(O)=C(O)C=C1,385.4,3,4,8,4,1.828,123.6,Inactive
OCC1CCN(CC2=C3OC(=CC(=O)C3=C(O)C=C2O)C2=CC=CC=C2)CC1,381.46,4,4,6,3,2.686,94.14,Inactive
COC1=CC=C(C(=O)C=CC2=CC=C(O)C=C2)C(O)=C1CC=C(C)CCC=C(C)C,406.56,9,2,4,2,6.834,66.76,Inactive
CC(=O)NC1C(NC(=O)OC(C)(C)C)C=C(OC1C1=NNC(CC2=CC=CC=C2)=N1)C(=O)OC(C1=CC=CC=C1)C1=CC=CC=C1,623.77,12,5,10,3,4.536,144.53,Inactive
OC1CCN(CC2=C3OC(=CC(=O)C3=C(O)C(O)=C2O)C2=CC=CC=C2)CC1,383.43,3,4,7,4,1.841,114.37,Inactive
CCN(C(C)C)C(=O)N1CC(C(N)C1CNC(=O)C=C)C(O)=O,326.45,6,1,8,4,-0.591,115.97,Inactive
CC(=O)NC1C(N)C=C(OC1C1=NC(CC2=CC=CC=C2)=NO1)C(O)=O,358.39,5,3,9,4,-0.497,140.57,Inactive
CC1CCCCN1CC1=C2OC(=CC(=O)C2=C(O)C(O)=C1O)C1=CC=CC=C1,381.46,3,4,6,3,3.703,94.14,Inactive
CC(C)CC(=O)OC(CC=C(C)C)C1=COC(=C1)C1=C(O)C=CC(O)=C1,358.47,8,2,5,2,5.174,79.9,Inactive
CC(C)=CCC(OC(=O)C=C(C)C)C1=COC(=C1)C1=C(O)C=CC(O)=C1,356.45,7,2,5,2,5.345,79.9,Inactive
CC(C)C(=O)OC(CC=C(C)C)C1=COC(=C1)C1=C(O)C=CC(O)=C1,344.44,7,2,5,2,4.928,79.9,Inactive
OC1=C(O)C(CN2CCCCC2)=C2OC(=CC(=O)C2=C1O)C1=CC=CC=C1,367.43,3,4,6,3,3.325,94.14,Inactive
OC1=C(O)C(CN2CCCC2)=C2OC(=CC(=O)C2=C1O)C1=CC=CC=C1,353.4,3,4,6,3,2.869,94.14,Inactive
CC(=O)NCC1CC(CC1NC(N)=N)C(O)=O,242.32,5,1,7,6,-1.226,128.3,Inactive
CCN(C(C)C)C(=O)N1CC(C(N)C1CNS(C)(=O)=O)C(O)=O,350.5,6,1,9,4,-1.303,141.42,Inactive
OCCN1CCN(CC2=C3OC(=CC(=O)C3=C(O)C=C2O)C2=CC=CC=C2)CC1,396.48,5,4,7,3,2.093,97.38,Inactive
CN1CCN(CC2=C3OC(=CC(=O)C3=C(O)C=C2O)C2=CC=C(O)C=C2)CC1,382.45,3,4,7,3,2.365,97.38,Inactive
CC1CCCCN1CC1=C2OC(=CC(=O)C2=C(O)C=C1O)C1=CC(O)=C(O)C=C1,397.46,3,4,7,4,3.435,114.37,Inactive
CC1CCN(CC2=C3OC(=CC(=O)C3=C(O)C=C2O)C2=CC=C(O)C=C2)CC1,381.46,3,4,6,3,3.577,94.14,Inactive
OC1CCN(CC2=C3OC(=CC(=O)C3=C(O)C=C2O)C2=CC=C(O)C=C2)CC1,383.43,3,4,7,4,1.841,114.37,Inactive
