ID,MW,RBN,nCIC,nHDon,nHAcc,ALogP,TPSA,Qm,Energy,Dipole,HOMO,LUMO,GAP,IC50 (nM),pIC50,Y-Label
116,358.39,5,3,4,9,-0.497,140.57,0.152450953,-0.104971857,4.9291,-0.36025,-0.01788,0.34237,99000,4.004364805,0
117,381.46,3,4,3,6,3.703,94.14,0.14187578,-0.210644019,5.1778,-0.32655,-0.02881,0.29774,99660,4.001479117,0
118,358.47,8,2,2,5,5.174,79.9,0.135986608,-0.266413997,3.5079,-0.31448,-0.01389,0.30059,100000,4,0
119,356.45,7,2,2,5,5.345,79.9,0.142420041,-0.222224513,3.8431,-0.31135,-0.01109,0.30026,100000,4,0
120,344.44,7,2,2,5,4.928,79.9,0.1378745,-0.255294757,2.145,-0.31482,-0.01403,0.30079,100000,4,0
121,367.43,3,4,3,6,3.325,94.14,0.145434319,-0.211862492,7.1699,-0.31944,-0.03463,0.28481,103870,3.983509868,0
122,353.4,3,4,3,6,2.869,94.14,0.150416523,-0.200960279,3.9195,-0.3262,-0.03504,0.29116,107110,3.970169981,0
123,242.32,5,1,6,7,-1.226,128.3,0.183064324,-0.195851582,6.6827,-0.35891,0.04361,0.40252,115000,3.93930216,0
124,350.5,6,1,4,9,-1.303,141.42,0.272582146,-0.309399814,8.375,-0.36963,-0.00741,0.36222,130000,3.886056648,0
125,396.48,5,4,3,7,2.093,97.38,0.147,-0.196207739,4.325,-0.33709,-0.03437,0.30272,135330,3.868605918,0
126,382.45,3,4,3,7,2.365,97.38,0.155959122,-0.185117353,5.8996,-0.33404,-0.03335,0.30069,148400,3.828566099,0
127,397.46,3,4,4,7,3.435,114.37,0.156244118,-0.292769458,3.1282,-0.33398,-0.03797,0.29601,161180,3.792688849,0
128,381.46,3,4,3,6,3.577,94.14,0.15207448,-0.215799033,5.322,-0.33001,-0.02586,0.30415,164490,3.783860499,0
129,383.43,3,4,4,7,1.841,114.37,0.156724083,-0.279287077,4.0758,-0.33003,-0.02405,0.30598,167520,3.775933336,0
130,337.4,3,4,2,5,3.136,73.91,0.151946465,-0.126895938,5.0536,-0.3358,-0.02573,0.31007,181750,3.74052558,0
131,257.28,3,1,5,8,-2.639,130.75,0.195552125,-0.283186104,2.0556,-0.369,-0.01929,0.34971,190000,3.721246399,0
132,347.42,9,1,8,10,-3.807,174.37,0.164732563,-0.487201553,4.4628,-0.34663,-0.00809,0.33854,200000,3.698970004,0
133,361.45,10,1,8,10,-3.227,174.37,0.159911255,-0.490479119,7.1596,-0.3514,-0.00952,0.34188,200000,3.698970004,0
134,358.4,7,2,7,11,-2.987,172.74,0.174840761,-0.403148553,5.7945,-0.33881,-0.00815,0.33066,200000,3.698970004,0
135,389.47,11,1,10,12,-3.778,210.25,0.174280811,-0.446817082,2.8295,-0.35083,-0.02307,0.32776,200000,3.698970004,0
136,403.5,12,1,10,12,-3.198,210.25,0.171616625,-0.457106063,3.2059,-0.35267,-0.02548,0.32719,200000,3.698970004,0
137,389.47,10,1,10,12,-3.674,215.45,0.171828132,-0.410762505,4.3522,-0.36049,-0.02071,0.33978,200000,3.698970004,0
138,403.5,11,1,10,12,-3.094,215.45,0.168079768,-0.421729968,5.1692,-0.35839,-0.02063,0.33776,200000,3.698970004,0
139,290.4,6,2,2,5,2.599,69.64,0.146682238,-0.176646576,4.7379,-0.32712,-0.01931,0.30781,222000,3.653647026,0
140,262.3,4,2,5,7,0.422,119.51,0.181605688,-0.101624397,8.0362,-0.33489,-0.02906,0.30583,250000,3.602059991,0
141,367.43,3,4,3,6,2.626,94.14,0.146800447,-0.204956359,2.3483,-0.33199,-0.02706,0.30493,258830,3.586985388,0
142,412.48,5,4,4,8,1.826,117.61,0.141253,-0.258865775,4.1245,-0.32331,-0.03664,0.28667,276430,3.558414826,0
143,367.43,3,4,3,6,2.108,94.14,0.150570596,-0.208159342,2.9288,-0.33303,-0.02389,0.30914,295260,3.529795385,0
144,382.45,3,4,3,7,2.365,97.38,0.143596776,-0.176663774,5.3184,-0.32182,-0.03552,0.2863,301710,3.520410295,0
145,366.45,3,4,2,6,2.633,77.15,0.149870813,-0.114019128,5.4594,-0.33521,-0.03328,0.30193,431120,3.365401829,0
146,353.4,3,4,2,6,2.363,83.14,0.149592977,-0.18601789,3.8773,-0.33839,-0.02714,0.31125,447900,3.348818938,0
147,397.46,4,4,4,7,2.419,114.37,0.148927196,-0.300768263,2.4203,-0.32818,-0.03438,0.2938,470100,3.327809749,0
148,397.46,3,4,3,7,2.851,103.37,0.145037667,-0.262555441,5.3148,-0.32401,-0.02759,0.29642,591030,3.228390474,0
149,265.29,4,2,3,6,-0.178,98.07,0.169376515,-0.307393379,3.21,-0.3481,-0.02763,0.32047,760000,3.119186408,0
150,291.35,4,2,7,8,-0.882,148.03,0.180221892,-0.10676257,7.8793,-0.3458,-0.02133,0.32447,2600000,2.585026652,0
151,187.23,3,1,6,6,-1.051,119.43,0.1834868,-0.195658243,2.8539,-0.35715,0.02884,0.38599,4000000,2.397940009,0
152,145.18,1,1,4,4,-1.081,83.55,0.16938665,-0.245660268,2.1439,-0.37003,0.02852,0.39855,37000000,1.431798276,0
153,360.5,8,2,4,6,1.934,101.65,0.149543642,-0.248395582,5.3775,-0.35372,-0.01993,0.33379,0.3,9.522878745,1
154,312.42,7,1,6,8,-0.049,137.53,0.172179644,-0.239173453,3.5741,-0.34558,-0.01375,0.33183,0.5,9.301029996,1
155,326.45,8,1,6,8,0.475,137.53,0.168531,-0.248523134,3.0482,-0.34773,-0.01077,0.33696,0.5,9.301029996,1
156,312.47,8,1,6,7,0.907,128.3,0.163820306,-0.221851383,1.5856,-0.35258,0.04108,0.39366,1,9,1
157,296.41,7,1,4,6,0.511,101.65,0.160711409,-0.259783417,3.2651,-0.36223,-0.01679,0.34544,1,9,1
158,354.55,11,1,4,6,2.727,101.65,0.144229086,-0.352214464,3.018,-0.36183,-0.0126,0.34923,1,9,1
159,366.56,8,2,4,6,2.607,101.65,0.142365627,-0.351154951,4.936,-0.34809,-0.01573,0.33236,1,9,1
160,298.39,7,1,6,8,-0.426,137.53,0.1728245,-0.23028567,4.3049,-0.35312,-0.01901,0.33411,1.8,8.744727495,1
161,465.6,9,3,4,8,1.863,121.96,0.1507595,-0.226199507,2.3307,-0.32575,-0.01165,0.3141,2,8.698970004,1
162,302.39,6,1,4,7,0.356,101.65,0.157499535,-0.364394277,3.4678,-0.36842,-0.02189,0.34653,3,8.522878745,1
163,312.42,8,1,6,8,0.03,137.53,0.165598422,-0.231463918,6.3001,-0.36081,-0.00278,0.35803,3,8.522878745,1
164,405.5,8,2,5,9,0.077,142.19,0.163168018,-0.338058878,2.9677,-0.33258,-0.01354,0.31904,3,8.522878745,1
165,312.42,7,1,5,8,-0.22,126.04,0.164420244,-0.226571196,4.8585,-0.33206,-0.02376,0.3083,4.6,8.337242168,1
166,431.55,10,2,6,10,0.374,157.84,0.163871305,-0.207344799,6.372,-0.34045,-0.01324,0.32721,5,8.301029996,1
167,419.53,9,2,4,9,0.328,131.19,0.155063172,-0.326504842,2.0917,-0.3306,-0.01066,0.31994,5,8.301029996,1
168,458.38,8,2,4,8,1.673,121.96,0.151857093,-0.286938496,3.1104,-0.34792,-0.01503,0.33289,6,8.22184875,1
169,297.45,6,1,4,6,0.715,95.66,0.145625574,-0.200235509,2.7919,-0.34538,-0.01684,0.32854,6,8.22184875,1
170,325.41,3,2,4,8,-1.217,121.96,0.167755556,-0.296020097,1.1595,-0.35424,-0.01593,0.33831,6,8.22184875,1
